							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	3	42	200	1.0	0.33	0	
	10	3	42	500	1.0	0.33	0	
	10	3	42	400	1.0	0.33	0	
	10	3	42	300	1.0	0.33	0	
	10	4	42	100	0.5	0.33	0	
	10	4	42	200	0.5	0.33	0	
	10	4	42	500	0.5	0.33	0	
	10	4	42	400	0.5	0.33	0	
	10	4	42	300	0.5	0.33	0	
	10	3	42	100	0.5	0.33	2	
	10	3	42	200	0.5	0.33	2	
	10	3	42	500	0.5	0.33	2	
	10	3	42	400	0.5	0.33	2	
	10	3	42	300	0.5	0.33	2	
	10	2	42	100	1.0	0.66	4	
	10	2	42	200	1.0	0.66	4	
	10	2	42	500	1.0	0.66	4	
	10	2	42	400	1.0	0.66	4	
	10	2	42	300	1.0	0.66	4	
	10	4	42	100	0.5	1.0	3	
	10	4	42	200	0.5	1.0	3	
	10	4	42	500	0.5	1.0	3	
	10	4	42	400	0.5	1.0	3	
	10	4	42	300	0.5	1.0	3	
	10	4	42	100	0.5	0.66	0	
	10	4	42	200	0.5	0.66	0	
	10	4	42	500	0.5	0.66	0	
	10	4	42	400	0.5	0.66	0	
	10	4	42	300	0.5	0.66	0	
	10	3	42	100	0.5	0.66	6	
	10	3	42	200	0.5	0.66	6	
	10	3	42	500	0.5	0.66	6	
	10	3	42	400	0.5	0.66	6	
	10	3	42	300	0.5	0.66	6	
	10	3	42	100	0.0	0.0	1	
	10	3	42	200	0.0	0.0	1	
	10	3	42	500	0.0	0.0	1	
